title,author,year,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,revisited
The Benefits to Mexican Agriculture of an El Nino-southern Oscillation (ENSO) Early Warning System,"Adams, Richard M and Houston, Laurie L and McCarl, Bruce A and Tiscare{~n}o L, Mario and Matus G, Jaime and Weiher, Rodney F",2003,include,NA,not satellite specifically,voi,ag production,dollars,climate forecast,agriculture,x
Value of Improved Long-Range Weather Information,"Adams, Richard M. and Bryant, Kelly J. and Mccarl, Bruce A. and Legler, David M. and O'Brien, James and Solow, Andrew and Weiher, Rodney",1995,include,NA,NA,voi,ag production,dollars,climate forecast,agriculture,x
Investigating the Global Socio-Economic Benefits of Satellite Industry and Remote Sensing Applications,"Alvino, Letizia and Marino, Stefano and Ahmad, Uzair and Alvino, Arturo",2019,exclude,review,NA,NA,NA,NA,NA,NA,NA
"Contingent Valuation Study of the Benefits of Seasonal Climate Forecasts for Maize Farmers in the Republic of Benin, West Africa","Amegnaglo, Cocou Jaur{\`e}s and Anaman, Kwabena Asomanin and {Mensah-Bonsu}, Akwasi and Onumah, Edwards Ebo and Amoussouga Gero, Fulbert",2017,include,NA,not satellite specifically,contingent valuation,ag production,dollars,climate forecast,agriculture,x
Earth Observation in Service of the 2030 Agenda for Sustainable Development,"Anderson, Katherine and Ryan, Barbara and Sonntag, William and Kavvada, Argyro and Friedl, Lawrence",2017,exclude,data not valued,"describes many ways in which eo data can support measurement and progress toward sustainable development goals, with references to case studies elsewhere, but data are not valued in this paper",NA,NA,NA,NA,NA,NA
Using Data from Earth Observation to Support Sustainable Development Indicators: An Analysis of the Literature and Challenges for the Future,"Andries, Ana and Morse, Stephen and Murphy, Richard J. and Lynch, Jim and Woolliams, Emma R.",2022,exclude,review,explores how eo data can provide value by populating sdg indicators? the authors catalog sdg indicators according to possibility of eo contributions,NA,monitoring progress toward sdgs,weak/partial/direct contribution toward sdg indicator,various,various,NA
The Value of Weather Information in Market Equilibrium,"Babcock, Bruce A.",1990,include,NA,not satellite specifically,equilibrium model,ag production,conceptual,climate forecast,agriculture,x
Valuing User Preferences for Geospatial Fire Monitoring in Guatemala,"Berenter, Jared and Morrison, Isaac and Mueller, Julie M.",2021,include,NA,"willingness to pay, choice experiment - fire monitoring in guatemala -",choice experiment,increased efficiency in fire management,financial,sigma-i hotspot maps;modis,wildfire,NA
The Value of Remotely Sensed Information: The Case of a GRACE-Enhanced Drought Severity Index,"Bernknopf, Richard and Brookshire, David and Kuwayama, Yusuke and Macauley, Molly and Rodell, Matthew and Thompson, Alexandra and Vail, Peter and Zaitchik, Benjamin",2018,include,NA,voi/bayesian decision theory in framework - drought monitoring,voi,improvement in drought prediction and response with satellite data,financial,grace,water resources; disaster response,NA
Monetising the Savings of Remotely Sensed Data and Information in Burn Area Emergency Response (BAER) Wildfire Assessment,"Bernknopf, Richard and Kuwayama, Yusuke and Gibson, Reily and Blakely, Jessica and Mabee, Bethany and Clifford, T. J. and Quayle, Brad and Epting, Justin and Hardy, Terry and Goodrich, David",2021,exclude,data not valued,This is a case of equivalent data being produced at a lower cost? exclude,voi,reduced cost of post-fire emergency response,financial,landsat,wildfire; disaster response,NA
Economic Assessment of the Use Value of Geospatial Information,"Bernknopf, Richard and Shapiro, Carl",2015,include,NA,"voi/bayesian - theory/framework with examples from agrochemicals, earthquake hazards, and ecosystem service markets, looking at how data expands the production possibilities frontier (pareto efficiency).  the first case study used landsat data; case study 2 was based on geographical info but not necessarily satellite; case study 3 looks at remote sensing for ecosystem service markets.",voi,increased efficiency in government regulation,financial,landsat; mrli,agriculture; water resources; disaster response,NA
Earth Observations Can Enable Cost-Effective Conservation of Eastern North Pacific Blue Whales: A Value of Information Analysis,"Bernknopf, Richard and Steinkruger, Andrew and Kuwayama, Yusuke",2021,include,NA,voi/bayesian decision - marine conservation,voi,cost reduction for vessel speed regulation,financial; blue whales saved,whalewatch,ecological conservation,NA
Estimating the Social Value of Geologic Map Information: A Regulatory Application,"Bernknopf, Richard L. and Brookshire, David S. and McKee, Michael and Soller, David R.",1997,include,NA,not satellite,voi,reduced loss and harm from land use decisions based on reduced uncertainty,various,usgs geologic maps,various,x
The Role Of Geoscience Information In Reducing Catastrophic Loss Using A Web-Based Economics Experiment,"Bernkopf, Richard",2003,include,,"Econ experimental setting where players can buy insurance to cover potential losses, based on more or less detailed map of risk of loss",choice experiment,avoiding loss,dollars,hypothetical,hypothetical,x
Socio-Economic Benefits from the Use of Earth Observation,"Borzacchiello, Maria Teresa and Craglia, Massimo",2011,exclude,conference abstract/proceedings,report from a workshop; looks like lots of good ideas in here,NA,NA,NA,NA,NA,NA
Assessing the Value of Information for Water Quality Management in the North Sea,"Bouma, J. A. and {van der Woerd}, H. J. and Kuik, O. J.",2009,include,NA,"voi/bayesian decision theory, stakeholder perception elicitation - marine water quality",voi; expert elicitation,"water quality monitoring for clarity, eutrophication, harmful algal blooms",financial,hypothetical,water resources; ecological conservation,NA
The Value of Earth Observation for Marine Water Quality Management,"Bouma, J. A. and Kuik, O. J. and {van der Woerd}, H. J. and Dekker, A. G.",2009,include,NA,"voi/bayesian decision theory, elicited beliefs of stakeholders - marine water quality - same as ""assessing the value of information for water quality management in the north sea"" and ""assessing the value of earth observation for managing coral reefs: an example from the great barrier reef""",voi; expert elicitation,improved water quality management decisions (gbr); improved early warning of habs (north sea),financial,hypothetical,water resources; ecological conservation,NA
Assessing the Value of Earth Observation for Managing Coral Reefs: An Example from the Great Barrier Reef,"Bouma, Jetske A. and Kuik, Onno and Dekker, Arnold G.",2011,include,NA,"voi/bayesian decision theory, elicitation of decision maker perceptions - marine conservation, great barrier reef",voi; expert elicitation,improved water quality management decisions (gbr),financial,hypothetical,ecological conservation,NA
The Value of Earth Observation for Managing the Great Barrier Reef,"Bouma, Jetske and Kuik, Onno and Dekker, Arnold",NA,include,NA,"voi/bayesian decision theory, elicited decision maker perceptions of value - marine conservation, great barrier reef",voi; expert elicitation,improved water quality management decisions (gbr),financial,hypothetical,ecological conservation,NA
Bayesian Framework for Assessing the Value of Scientific Space Systems: Value of Information Approach with Application to Earth Science Spacecraft,"Brathwaite, Joy and Saleh, Joseph H.",2013,include,NA,"voi/bayesian decision theory, disaster early warning systems for hurricanes with respect to oil rigs",voi,improved forecasting of extreme weather events,financial,hypothetical,disaster response,NA
Empowering Brazilian Unprivileged Communities with High Geotechnological Tools,"Brito, Patricia Lustosa and Reis, Daniel Nadier Cavalcanti and Brito, Ricardo Lustosa and {de Oliveira Fernandes}, Vivian and Alixandrini, Mauro",2013,exclude,data not valued; review,"collaborative mapping, engaging underprivileged communities in brazil.  perhaps useful for seeing how underprivileged communities can contribute value, types of values, etc; but there is no valuation of data here",NA,NA,NA,NA,NA,NA
"A New Process for Organizing Assessments of Social, Economic, and Environmental Outcomes: Case Study of Wildland Fire Management in the USA","Bruins, Randall Jf and Munns, Wayne R and Botti, Stephen J and Brink, Steve and Cleland, David and Kapustka, Larry and Lee, Danny and Luzadis, Valerie and Falk McCarthy, Laura and Rana, Naureen and Rideout, Douglas B and Rollins, Matt and Woodbury, Peter and Zupko, Mike",2010,exclude,data not valued,this is more about an improved decisionmaking process rather than anything about the esi that goes into the decisionmaking,NA,NA,NA,NA,NA,x
Assessing the Usability and Potential Value of Seasonal Climate Forecasts in Land Management Decisions in the Southwest UK: Challenges and Reflections,"Bruno Soares, Marta",2017,include,NA,not satellite specifically,stated preference,ag production,qualitative,climate forecast,agriculture,x
Assessing the Value of Seasonal Climate Forecasts for Decision-making,"Bruno Soares, Marta and Daly, Meaghan and Dessai, Suraje",2018,exclude,review,"good examination of the term ""value"" in context of seasonal climate forecasts though",NA,NA,NA,NA,NA,x
The Value of Climate Information When Farm Programs Matter,"Cabrera, Victor E. and Letson, David and Podest{\'a}, Guillermo",2007,include,NA,not satellite specifically,farm decision model,ag production,dollars,climate forecast,agriculture,x
Economic Potential of Oil Palm Plantation Using Remote Sensing-Based Technology in Indonesia,"Center for Aerospace Policy Studies, National Institute of Aeronautics and Space (LAPAN), Indonesia} and Diana, Shinta Rahma and Farida, Farida and {Faculty of Economics and Bussiness, UPI, YAI, Indonesia",2021,include,NA,statistical methods to tease out effects of remote sensing to improve management efficiency (fertilization) in oil palm production,panel regression,improved agricultural production efficiency,efficiency,spot,agriculture,NA
Operational Use and Impact of Satellite Remotely Sensed Ocean Surface Vector Winds in the Marine Warning and Forecasting Environment,"Chang, Paul and Jelenak, Zorena and Sienkiewicz, Joseph and Knabb, Richard and Brennan, Michael and Long, David and Freeberg, Mark",2009,exclude,data not valued,"improvements in warning times and accuracy as a result of integrating satellite data? lots of examples of use and thus implicit value, but explicit valuation is not done",NA,improved early warning for marine extreme weather,NA,quickscat,disaster response,NA
Agricultural Value of ENSO Information under Alternative Phase Definition,"Chen, Chi-Chung and McCarl, Bruce and Hill, Harvey",2002,include,NA,"improved enso information, i.e., five phase vs three phase - not specifically satellite",stochastic model and voi,ag production,dollars,climate forecast,agriculture,x
Earth Observation in a Cost-Benefit Analysis Perspective: Cosmo SkyMed Satellites of the Italian Space Agency,"Cl{\`o}, Stefano and Florio, Massimo and Morretta, Valentina and Vurchio, Davide",NA,exclude,data not valued,"lit review, case study - barriers and governance analysis.  lit review on examples of valuations for eo data.  for this, socio-economic benefits are asserted but not quantified; method is not clearly stated.  case study: csk data and law enforcement",NA,NA,NA,cosmo skymed,NA,NA
Assessing the Full Effects of Public Investment in Space,"Clark, John and Koopmans, Carl and Hof, Bert and Knee, Paula and Lieshout, Rogier and Simmonds, Paul and Wokke, Frank",2014,exclude,review,"categorizes impacts of investment in space technology across economic, social, strategic, and environmental including spillover effects and such - a meta-analysis.  includes good summaries of various valuation methods.  proposes framework for combining results from across various impacts and such, but doesn't actually apply it.",cost-benefit analysis; multi criteria analysis,various,various; financial,hypothetical,various,NA
Market-Based Methods for Monetizing Uncertainty Reduction,"Cooke, Roger and Golub, Alexander",2020,include,NA,"options pricing to assess voi/bayesian, based on improved accuracy of weather forecasting",voi;options pricing,improved weather forecasting,financial,hypothetical,agriculture,NA
Value of Information for Climate Observing Systems,"Cooke, Roger and Wielicki, Bruce A. and Young, David F. and Mlynczak, Martin G.",2014,include,NA,"modeling link between improved climate observations, decision-making trigger status, and resulting reductions in climate damage",voi,earlier switch to reduced carbon emissions path,financial,clarreo,climate,NA
The Value of El Nino Forecasts in the Management of Salmon: A Stochastic Dynamic Assessment,"Costello, Christopher J. and Adams, Richard M. and Polasky, Stephen",1998,include,NA,not satellite specifically,bioeconomic model;voi,fishery production; sustainability,dollars,climate forecast,fisheries,x
Cost and Value of Multidisciplinary Fixed-Point Ocean Observatories,"Cristini, Luisa and Lampitt, Richard S. and Cardin, Vanessa and Delory, Eric and Haugan, Peter and O'Neill, Nick and Petihakis, George and Ruhl, Henry A.",2016,include,NA,"cost-benefit analysis? highlights challenges in accurately quantifying economic value of ocean observations - fairly surface level analysis.  ocean-based observation, not satellite",cost-benefit analysis,improved ocean and climate prediction,financial,fixo3,climate;disaster response;other,NA
An Analysis of the Value of Additional Information Provided by a Water Quality Measurement Network,"Destandau, F. and Diop, A. P.",2016,include,NA,voi/bayesian decision theory - economic benefit of improved decision in water quality measurement network,voi,improved decisionmaking about water treatment,financial,in situ water measurement,water resources,NA
Spatio-Temporal Design for a Water Quality Monitoring Network Maximizing the Economic Value of Information to Optimize the Detection of Accidental Pollution,"Destandau, Fran{\c c}ois and Zaiter, Youssef",2020,include,NA,not satellite,voi,reduction of damage due to water pollution,NA,water quality monitoring network,water resources,x
Willingness to Pay for Soil Information Derived by Digital Maps: A Choice Experiment Approach,"Diafas, Iason and Panagos, Panos and Montanarella, Luca",2013,include,NA,not satellite,choice experiment,ag production,dollars,digital soil map,agriculture,x
Intangible Economic Benefit of Remote Sensing Data in Indonesia,"Diana, Shinta Rahma and Ibrahim, Ida Musdafia",2020,include,NA,"qualitative techniques, questionnaire and in-depth interviews",stated preference,user satisfaction and intangible benefits,"qualitative satisfaction, quality, benefit",remote sensing in general,agriculture,NA
How to Measure the Economic Health Cost of Wildfires -- A Systematic Review of the Literature for Northern America,"Dittrich, Ruth and McCallum, Stuart",2020,exclude,review,NA,NA,NA,NA,NA,NA,x
CEOS Contributions to Informing Energy Management and Policy Decision Making Using Space-Based Earth Observations,"Eckman, Richard S. and Stackhouse, Paul W.",2012,exclude,data not valued,"stakeholder engagement, improving dissemination of info/data - multiple case studies.  this does not seem to be about valuing data, but rather implicit value",NA,NA,NA,NA,NA,NA
Seeing Our Planet Whole: A Cultural and Ethical View of Earth Observation,"Eyres, Harry",2017,exclude,book,this is just the table of contents? examine the entire book?,NA,NA,NA,NA,NA,NA
Free Satellite Imagery and Digital Elevation Model Analyses Enabling Natural Resource Management in the Developing World: Case Studies from Eastern Indonesia,"Fisher, Rohan Peter and Hobgen, Sarah Elizabeth and Haleberek, Kristianus and Sula, Nelson and Mandaya, Iradaf",2017,exclude,ESI data not used; data not valued,"might conflate gis and eo data… “the paper evaluates the mentioned case studies against criteria suggested by mccall and dunn (2012) for participatory gis to contribute to good governance, including strengthening legitimacy, creating respect for local knowledge, developing equity, demonstrating competence, and creating accountability”",NA,NA,NA,NA,NA,NA
"Weather Impacts On Natural, Social And Economic Systems","Flechsig, Michael",2000,exclude,data not valued,"survey of individuals and managers, but relating to weather/climate, not satellite data?",qualitative survey;stated preference,,qualitative,hypothetical,,x
An Economic Value of Remote-Sensing Information: Application to Agricultural Production and Maintaining Groundwater Quality,"Forney, William M. and Raunikar, R. and Mishra, Shruti and Bernknopf, R.",2012,include,NA,"model of regulations that affect crop prices and input costs, summed over time, to optimize agricultural production/profit while avoiding increase in groundwater pollytion? then feeds into a voi comparison looking at outward expansion of ppf due to new tech",model; voi,increased crop production without increased groundwater pollution,financial; groundwater,mrli,agriculture; water resources,NA
Economic and Social Benefits of Meteorology and Climatology in Switzerland,"Frei, Thomas",2010,exclude,review,not satellite specifically,NA,NA,NA,weather information,NA,x
A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems,"Fritz, S. and Scholes, R.J. and Obersteiner, M. and Bouma, J. and Reyers, B.",2008,include,NA,"benefit chain concept - causal pathway from incremental improvements in the observing system (cost = investment cost for marginal increase in eo effort) to better management and outcomes (benefit = marginal increase in societal benefits given a marginal increase in effort) - marginal cost-benefit ratio, i.e., shape of a logistic benefit-cost curve, max incremental benefit:cost is where the slope is steepest",cost-benefit analysis; benefit chain,"many (case studies: fire control due to better weather forecasts, improved data for conservation planning; marine water quality monitoring)",many,geoss,wildfire; ecological conservation; water resources,NA
Essential Variables for Environmental Monitoring: What Are the Possible Contributions of Earth Observation Data Cubes?,"Giuliani, Gregory and Egger, Elvire and Italiano, Julie and Poussin, Charlotte and Richard, Jean-Philippe and Chatenoux, Bruno",2020,exclude,data not valued,looks at various categories of essential variables and how some of those may be estimated using eo imagery; does not seem to actually determine a value,NA,NA,NA,NA,NA,NA
Knowledge Generation Using Satellite Earth Observations to Support Sustainable Development Goals (SDG): A Use Case on Land Degradation,"Giuliani, Gregory and Mazzetti, Paolo and Santoro, Mattia and Nativi, Stefano and Van Bemmelen, Joost and Colangeli, Guido and Lehmann, Anthony",2020,exclude,data not valued,approach to monitor land degradation at various scales using eo data toward an indicator for sdg 15.3.1.,NA,NA,NA,NA,NA,NA
The Value Of A Long-Range Weather Forecast For The West African Sahel,"Glantz, Michael",1977,include,,"Survey-based study asking for retrospective decisions a year ago (study in 1973, what would you have done in 1972) if you had an accurate forecast of monthly average rain and temp.",qualitative survey;stated preference,agricultural production;grazing;disease reduction,qualitative,hypothetical,agriculture;water resources;health,x
As Seen From Space: Tele-Epidemiological Data as Pandemic Memory,"Gleason, Louis",2022,exclude,data not valued,"tele-epidemiology - addressing disparities in data to fill gaps and provide a better understanding of pandemic history.  interesting, with concrete examples of potential benefits, but no actual measurement of benefit",NA,NA,NA,NA,NA,NA
Economic Evaluation of Research to Improve the Canadian Forest Fire Danger Rating System,"Gould, J. S. and Patriquin, M. N. and Wang, S. and McFarlane, B. L. and Wotton, B. M.",2013,exclude,data not valued,"this looks more like valuing a decision support tool, rather than the information itself",cost-benefit analysis,NA,NA,NA,NA,x
Simulating the Value of El Nino Forecasts for the Panama Canal,"Graham, Nicholas E. and Georgakakos, Konstantine P. and Vargas, Carlos and Echevers, Modesto",2006,include,NA,not satellite specifically,dynamic model;optimization,optimal water levels in lake/panama canal,dollars,climate forecast,water resources,x
Use of Climate Information for Socio-Economic Benefits,"Gunasekera, Don",2010,exclude,review,"public good, across multiple applied science areas - seems like it offers a framework that would be useful.  unclear whether the data reviewed here (“climate information”) is eo but seems plausible; also may be climate forecasts rather than eo data",NA,NA,NA,NA,NA,NA
A Cost-Benefit Analysis of The National Map,"Halsing, David L. and Theissen, Kevin and Bernknopf, Richard",2004,include,NA,not satellite specifically,cost-benefit analysis,various,dollars,national map,various,x
Potential Value Of Gcm-Based Seasonal Rainfall Forecasts For Maize Management In Semi-Arid Kenya,"Hansen, James",2009,include,,GCM not satellite data,voi,ag production,dollars,climate forecast,agriculture,x
Earth Observation and the Public Good,"Harris, Ray and Miller, Lewis",2011,exclude,data not valued,"public goods theory; framework of thinking about satellite data in terms of rivalry and excludability, with nine eo missions placed in various locations on this plane.  not technically valuing the data, but ranking them relatively along the two axes?",public goods theory,efficient eo markets,"rivalry, excludability",various,various,NA
Pricing Policy and Legal Issues: 6th and 7th EOPOLE Workshops,"Harris, Ray and Olby, Nicola",2000,include,NA,"pricing policy of earth observation data, linear regression of log(price per km2) as a function of log(pixel size)",regression,efficient eo markets,financial,general,general,NA
Benefits Of Meteorological Services In South Eastern Europe,"Hautala, Raine",2008,include,,report that covers multiple sectors in multiple countries ,voi;contingent valuation,various,euros,weather information,agriculture;disaster response;others,x
A Method for Estimating the Socioeconomic Impact of Earth Observations in Wildland Fire Suppression Decisions,"Herr, Vincent and Kochanski, Adam K. and Miller, Van V. and McCrea, Rich and O'Brien, Dan and Mandel, Jan",2020,include,NA,hypothetical scenarios of fire suppression decisions with and without modis data.  sounds like voi/bayesian as done through simulations,voi; scenario simulation,reduced losses from wildfire due to improved firebreak decisions,financial,modis,wildfire,NA
The Value of Harmful Algal Bloom Predictions to the Nearshore Commercial Shellfish Fishery in the Gulf of Maine,"Jin, Di and Hoagland, Porter",2008,include,NA,not satellite specifically,voi,shellfish production,dollars,harmful algal bloom predictions,fisheries,x
Potential Benefits Of Climate Forecasting To Agriculture,"Jones, J.W.",2000,include,,tailoring crop mix based on ENSO phases in SE USA and Argentina,voi,ag production,dollars,climate forecast,agriculture,x
The Potential Value of Improved Ocean Observation Systems in the Gulf of Mexico,"Kaiser, Mark J. and Pulsipher, Allan G.",2004,include,NA,"ocean observation systems that slightly improve weather forecasts, and thus slightly increase the value of activities that depend on weather forecasts.",model; voi,various ocean-related benefits,financial; lives saved,hypothetical,various,NA
Agricultural Producers' Willingness to Pay for Real-Time Mesoscale Weather Information,"Kenkel, Phil L. and Norris, Patricia E.",1995,include,NA,contingent valuation - survey of farmers and ranchers on willingness to pay for improved weather information.  includes both raw weather data and value-added information products.  not satellite data but still seems like remote observation can apply,stated preference,improved agricultural production efficiency,financial,mesonet,agriculture,NA
Valuing Weather Observation Systems For Forest Fire Management,"Khabarov, N. and Moltchanova, E. and Obersteiner, M.",2008,include,NA,voi/bayesian based on reduction in burned areas based on either coarse or fine resolution weather data.  not satellite data - aerial patrols - but can be generalized,voi,reduced area burned,financial,air patrol,wildfire,NA
The Value of Ocean Surface Wind Information for Maritime Commerce,"Kite-Powell}, Hauke",2011,include,NA,hypothetical satellite,voi,avoided exposure of shipping to storms,dollars,hypothetical,shipping,x
Assessing the Economic Value of Early Warning Systems,"Klafft, Michael and Meissen, Ulrich",2011,exclude,ESI data not used,"contingent valuation vs. cost avoidance for disaster response early warning systems - recommends cost avoidance approach due to challenges and biases in contingent valuation.  math model including disaster types, response actions, prediction accuracy, dissemination channels, and system costs.  explores factors that affect effectiveness of early warning systems: personal and cultural factors, prediction-related factors, and dissemination-related factors.  note: early warning systems might use eo data as input, but aren't really eo data themselves.  however, the valuation methods might still be useful!",NA,NA,NA,NA,NA,NA
A Scalable Earth Observations-Based Decision Support System for Hydropower Planning in Africa,"Koppa, Akash and Gebremichael, Mekonnen and Hopson, Thomas M. and Riddle, Emily and Boehnert, Jennifer and Broman, Daniel P.",2021,include,NA,hydropower production improved through use of eo data instead of climatological forecast to inform inflow forecasts,model; simulation; voi,improved hydropower production,mwh,various,water resources,NA
Economic Value Of Current And Improved Weather Forecasts In The U.s. Household Sector,"Lazo, Jeffrey",2002,include,,"large report on value of weather forecasting services to households, e.g., relative to amount of taxes",stated preference; contingent valuation,benefits to households,dollars,weather information,,x
Using Earth Observations to Enhance Water Resources Decision-Making and Disaster Assessment Processes in the United States and the Developing World,"Lee, Christine M. and Searby, Nancy D. and Hemmings, Sarah N.",2013,exclude,data not valued,looks more like applications and implicit value,NA,NA,NA,NA,NA,NA
