title,author,year,doi,notes,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme
Land Use Change And Environmental Sustainability: The Case Of Lagos Metropolis,"Nwokoro, I. I. C. and Dekolo, S. O.",2011,10.2495/sc120141,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Application Of High-Resolution Stereo Satellite Images To Detailed Landslide Hazard Assessment,"Nichol, J. E. and Shaker, A. and Wong, M. S.",2006,10.1016/j.geomorph.2005.10.001,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
The Value Of Remotely Sensed Vs. Field-Surveyed Habitat Structure For Predicting Bird Abundance: A Case Study In Traditional Orchards,"Chaparro, Laura and Schmieder, Klaus and Schurr, Frank M.",2022,10.1007/s10336-022-01970-9,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Evaluation Of Earth Observation Systems For Estimating Environmental Determinants Of Microbial Contamination In Recreational Waters,"Kotchi, S. O. and Brazeau, S. and Turgeon, P. and Pelcat, Y. and Legare, J. and Lavigne, M. P. and Essono, F. N. and Fournier, R. A. and Michel, P.",2015,10.1109/jstars.2015.2426138,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Integrating Drone Imagery With Existing Rangeland Monitoring Programs,"Gillan, J. K. and Karl, J. W. and van Leeuwen, W. J. D.",2020,10.1007/s10661-020-8216-3,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Remote Sensing Of Soil And Water Quality In Agroecosystems,"De Paul Obade, V. and Lal, R. and Chen, J.",2013,10.1007/s11270-013-1658-2,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Mapping Landscape-Scale Peatland Degradation Using Airborne Lidar And Multispectral Data,"Carless, D. and Luscombe, D. J. and Gatis, N. and Anderson, K. and Brazier, R. E.",2019,10.1007/s10980-019-00844-5,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Where's Woolly? An Integrative Use Of Remote Sensing To Improve Predictions Of The Spatial Distribution Of An Invasive Forest Pest The Hemlock Woolly Adelgid,"Jones, Chris and Song, Conghe and Moody, Aaron",2015,10.1016/j.foreco.2015.09.013,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Review Of The Driving Forces And Impacts Of Land Use/Cover Change In The Yangtze River Basin,"Yuan, X. and Wang, C. and Li, B. and Wang, W. and Chen, N.",2023,10.13203/j.whugis20210368,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Possibility Investigation Of Tree Diversity Mapping Using Landsat Etm+ Data In The Hyrcanian Forests Of Iran,"Mohammadi, J. and Shataee, S.",2010,10.1016/j.rse.2010.02.004,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Understanding The Spatio-Temporal Behaviour Of The Sunflower Crop For Subfield Areas Delineation Using Sentinel-2 Ndvi Time-Series Images In An Organic Farming System,"Marino, Stefano",2023,10.1016/j.heliyon.2023.e19507,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Use And Benefits Of Nasa's Recover For Post-Fire Decision Support,"Toombs, William and Weber, Keith and Stegner, Tesa and Schnase, John L. and Lindquist, Eric and Lippitt, Frances",2018,10.1071/wf18010,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Monitoring And Diagnosis System For Wheat Growth With Remote Sensing And Sensor Technology,"Zhang, Q. and Huang, W. and Xu, T. and Yang, X. and Sun, P.",2011,10.3969/j.issn.1002-6819.2011.12.022,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Deep Learning–Based Monitoring Sustainable Decision Support System For Energy Building To Smart Cities With Remote Sensing Techniques,"Yue, W. and Yu, C. and Antonidoss, A. and Anbarasan, M.",2022,10.14358/pers.22-00010r2,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Using Copernicus Sentinel-2 And Sentinel-3 Data To Monitor Harmful Algal Blooms In Southern Chile During The Covid-19 Lockdown,"Rodríguez-Benito, C. V. and Navarro, G. and Caballero, I.",2020,10.1016/j.marpolbul.2020.111722,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Ecological Environment Dynamic Monitoring And Driving Force Analysis Of Karst World Heritage Sites Based On Remote-Sensing: A Case Study Of Shibing Karst,"Zhang, Ning and Xiong, Kangning and Xiao, Hua and Zhang, Juan and Shen, Chuhong",2023,10.3390/land12010184,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Active Fire Monitoring Of Thailand And Upper Asean By Earth Observation Data: Benefits, Lessons Learned, And What Still Needs To Be Known","Tanpipat, V. and McCarty, J. L. and Davies, D. and Schroeder, W. and Elvidge, C.",2023,10.1007/978-3-031-29916-2_9,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Automatic Parameter Optimization For Support Vector Regression For Land And Sea Surface Temperature Estimation From Remote Sensing Data,"Moser, Gabriele and Serpico, Sebastiano B.",2009,10.1109/tgrs.2008.2005993,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Can Remote Sensing Fill The United States' Monitoring Gap For Watershed Management?,"Sridharan, Vamsi Krishna and Kumar, Saurav and Kumar, Swetha Madhur",2022,10.3390/w14131985,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
The Role Of Satellite And Decentralized Strategies In Water Resources Management,"Gikas, Petros and Tchobanoglous, George",2009,10.1016/j.jenvman.2007.08.016,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Atmospheric Remote Sensing Using Global Navigation Satellite Systems: From Formosat-3/Cosmic To Formosat-7/Cosmic-2,"Chu, C. H. and Huang, C. Y. and Fong, C. J. and Chen, S. Y. and Chen, Y. H. and Yeh, W. H. and Kuo, Y. H.",2021,10.3319/tao.2021.11.15.02,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Where Have All The People Gone? Enhancing Global Conservation Using Night Lights And Social Media,"Levin, Noam and Kark, Salit and Crandall, David",2015,10.1890/15-0113.1.sm,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Big Data Technology Oriented To Wetland Resource Ecosystem Value Evaluation,"Fan, L.",2022,10.1155/2022/6815102,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Satellite Sensors And Retrieval Algorithms Of Atmospheric Methane,He Zhuo and Li Zhengqiang and Fan Cheng and Zhang Ying and Shi Zheng and Zheng Yang and Gu Haoran and Ma Jinji and Zuo Jinhui and Han Yinghui and Zhang Yuanxun and Qin Kai and Zhang Hao and Xu Wenbin and Zhu Jun,2023,10.3788/aos230429,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Revisiting The Environmental Kuznets Curve For City-Level Co2 Emissions: Based On Corrected Npp-Viirs Nighttime Light Data In China,"Chen, Hongxing and Zhang, Xiaoling and Wu, Rongwei and Cai, Tianyi",2020,10.1016/j.jclepro.2020.121575,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
The Role Of Remote Sensing Data And Methods In A Modern Approach To Fertilization In Precision Agriculture,"Radočaj, D. and Jurišić, M. and Gašparović, M.",2022,10.3390/rs14030778,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Portability Of Semantic And Spatial-Temporal Machine Learning Methods To Analyse Social Media For Near-Real-Time Disaster Monitoring,"Havas, Clemens and Resch, Bernd",2021,10.1007/s11069-021-04808-4,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Global Multi-Scale Grid Integer Coding And Spatial Indexing: A Novel Approach For Big Earth Observation Data,"Lei, Yi and Tong, Xiaochong and Zhang, Yongsheng and Qiu, Chunping and Wu, Xiangyu and Lai, Guangling and Li, He and Guo, Congzhou and Zhang, Yong",2020,10.1016/j.isprsjprs.2020.03.010,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Combined Use Of Local And Global Hydro Meteorological Data With Hydrological Models For Water Resources Management In The Magdalena-Cauca Macro Basin - Colombia,"Rodriguez, Erasmo and Sanchez, Ines and Duque, Nicolas and Arboleda, Pedro and Vega, Carolina and Zamora, David and Lopez, Patricia and Kaune, Alexander and Werner, Micha and Garcia, Camila and Burke, Sophia",2020,10.1007/s11269-019-02236-5,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Diagnosing Irrigation Performance And Water Productivity Through Satellite Remote Sensing And Secondary Data In A Large Irrigation System Of Pakistan,"Ahmad, M. D. and Turral, H. and Nazeer, A.",2009,10.1016/j.agwat.2008.09.017,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Grassland Wildfires In The Southern Great Plains: Monitoring Ecological Impacts And Recovery,"Steiner, Jean L. and Wetter, Jeffrey and Robertson, Shelby and Teet, Stephen and Wang, Jie and Wu, Xiaocui and Zhou, Yuting and Brown, David and Xiao, Xiangming",2020,10.3390/rs12040619,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Three Most Widely Used Gnss-Based Shoreline Monitoring Methods To Support Integrated Coastal Zone Management Policies,"Goncalves, R. M. and Awange, J. L.",2017,10.1061/(asce)su.1943-5428.0000219,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Spectral Matching Based On Discrete Particle Swarm Optimization: A New Method For Terrestrial Water Body Extraction Using Multi-Temporal Landsat 8 Images,"Jia, Kai and Jiang, Weiguo and Li, Jing and Tang, Zhenghong",2018,10.1016/j.rse.2018.02.012,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Value Of Insar For Monitoring Land Subsidence To Support Water Management In The San Joaquin Valley, California","Jones, Jeanine and Jones, Cathleen E. and Bekaert, David P. S.",2022,10.1111/1752-1688.12942,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Is Acoustic Tracking Appropriate For Air-Breathing Marine Animals? Dugongs As A Case Study,"Zeh, Daniel R. and Heupel, Michelle R. and Limpus, Colin J. and Hamann, Mark and Fuentes, Mariana M. P. B. and Babcock, Russel C. and Pillans, Richard D. and Townsend, Kathy A. and Marsh, Helene",2015,10.1016/j.jembe.2014.11.013,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Characterizing Off-Highway Road Use With Remote-Sensing, Social Media And Crowd-Sourced Data: An Application To Grizzly Bear (Ursus Arctos) Habitat","Kearney, Sean P. and Larsen, Terrence A. and Goodbody, Tristan R. H. and Coops, Nicholas C. and Stenhouse, Gordon B.",2021,10.3390/rs13132547,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Dynamic Partitioning Of Tropical Indian Ocean Surface Waters Using Ocean Colour Data - Management And Modelling Applications,"Schwarz, Jill N.",2020,10.1016/j.jenvman.2020.111308,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Mapping Daily Evapotranspiration At Field Scale Using The Harmonized Landsat And Sentinel-2 Dataset, With Sharpened Viirs As A Sentinel-2 Thermal Proxy","Xue, Jie and Anderson, Martha C. and Gao, Feng and Hain, Christopher and Yang, Yun and Knipper, Kyle R. and Kustas, William P. and Yang, Yang",2021,10.3390/rs13173420,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
The Activities Of The Italian Coast Guard In The Field Of Airborne Remote Sensing And The Eventual Use Of Satellite Platforms In Marine Pollution Abatement Activities,"Patruno, R and Mancini, M and Malfatti, A",1996,10.1016/s1353-2561(96)00031-x,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Assessing The Role Of Climate And Resource Management On Groundwater Dependent Ecosystem Changes In Arid Environments With The Landsat Archive,"Huntington, Justin and McGwire, Kenneth and Morton, Charles and Snyder, Keirith and Peterson, Sarah and Erickson, Tyler and Niswonger, Richard and Carroll, Rosemary and Smith, Guy and Allen, Richard",2016,10.1016/j.rse.2016.07.004,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Assessing The Influence Of Land-Cover Change And Conflicting Land-Use Authorizations On Ecosystem Conversion On The Forest Frontier Of Madre De Dios, Peru","Scullion, Jason J. and Vogt, Kristiina A. and Sienkiewicz, Alison and Gmur, Stephan J. and Trujillo, Cristina",2014,10.1016/j.biocon.2014.01.036,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
National Forest Carbon Inventories: Policy Needs And Assessment Capacity,"Andersson, K. and Evans, T. P. and Richards, K. R.",2009,10.1007/s10584-008-9526-6,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Competition And Burn Severity Determine Post-Fire Sapling Recovery In A Nationally Protected Boreal Forest Of China: An Analysis From Very High-Resolution Satellite Imagery,"Fang, L. and Crocker, E. V. and Yang, J. and Yan, Y. and Yang, Y. and Liu, Z.",2019,10.3390/rs11060603,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Environmental Indicators Combined With Risk Analysis To Evaluate Potential Wildfire Incidence On The Dadu Plateau In Taiwan,"Lin, Chao-Yuan and Shieh, Pei-Ying and Wu, Shao-Wei and Wang, Po-Cheng and Chen, Yung-Chau",2022,10.1007/s11069-022-05300-3,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Observation Of Pm2.5 Using A Combination Of Satellite Remote Sensing And Low-Cost Sensor Network In Siberian Urban Areas With Limited Reference Monitoring,"Lin, C. and Labzovskii, L. D. and Mak, H. W. L. and Fung, J. C. H. and Lau, A. K. H. and Kenea, S. T. and Bilal, M. and Vande Hey, J. D. and Lu, X. and Ma, J.",2020,10.1016/j.atmosenv.2020.117410,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Cost-Effective Disaster-Induced Land Cover Analysis: A Semi-Automatic Methodology Using Machine Learning And Satellite Imagery,"I. Volke, M. and Abarca-Del-Rio, R. and A. Warner, T.",2024,10.1080/01431161.2023.2292015,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Assessment Of The Utility Of Remote Sensing Techniques For Monitoring Compliance With Direct Payment Programs,"Ahn, H. and Ryu, J. H. and Lee, K.",2023,10.7780/kjrs.2023.39.6.1.23,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Lake Nasser Evaporation Reduction Study,"Ebaid, Hala M. I. and Ismail, Sherine S.",2010,10.1016/j.jare.2010.09.002,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Applied Geomorphic Mapping For Land Management In The River Murray Corridor, Se Australia","Pain, C. F. and Clarke, J. D. A. and Wong, V. N. L.",2011,10.1016/b978-0-444-53446-0.00019-7,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis Of Suspended Particulate Matter And Its Drivers In Sahelian Ponds And Lakes By Remote Sensing (Landsat And Modis): Gourma Region, Mali","Robert, Elodie and Kergoat, Laurent and Soumaguel, Nogmana and Merlet, Sebastien and Martinez, Jean-Michel and Diawara, Mamadou and Grippa, Manuela",2017,10.3390/rs9121272,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
An Open Data And Citizen Science Approach To Building Resilience To Natural Hazards In A Data-Scarce Remote Mountainous Part Of Nepal,"Parajuli, Binod Prasad and Khadka, Prakash and Baskota, Preshika and Shakya, Puja and Liu, Wei and Pudasaini, Uttam and Roniksh, B. C. and Paul, Jonathan D. and Buytaert, Wouter and Vij, Sumit",2020,10.3390/su12229448,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Comparative Assessment Of Uav And Sentinel-2 Ndvi And Gndvi For Preliminary Diagnosis Of Habitat Conditions In Burunge Wildlife Management Area, Tanzania","Mangewa, Lazaro J. and Ndakidemi, Patrick A. and Alward, Richard D. and Kija, Hamza K. and Bukombe, John K. and Nasolwa, Emmanuel R. and Munishi, Linus K.",2022,10.3390/earth3030044,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Development Of A Hydrological Telemetry System In Bago River,"Acierto, R. A. and Kawasaki, A. and Zin, W. W. and Oo, A. T. and Ra, K. and Komori, D.",2018,10.20965/jdr.2018.p0116,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Space Technology For Disaster Management : Data Access And Its Place In The Community,"Andrews Deller, M. E.",2007,10.1144/sp283.14,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Normalizing Land Surface Temperature For Environmental Parameters In Mountainous And Urban Areas Of A Cold Semi-Arid Climate,"Weng, Qihao and Firozjaei, Mohammad Karimi and Kiavarz, Majid and Alavipanah, Seyed Kazem and Hamzeh, Saeid",2019,10.1016/j.scitotenv.2018.09.027,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Success Stories Of Satellite Radar Altimeter Applications,"Eldardiry, Hisham and Hossain, Faisal and Srinivasan, Margaret and Tsontos, Vardis",2022,10.1175/bams-d-21-0065.1,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Open-Source Processing And Analysis Of Aerial Imagery Acquired With A Low-Cost Unmanned Aerial System To Support Invasive Plant Management,"Lehmann, Jan R. K. and Prinz, Torsten and Ziller, Silvia R. and Thiele, Jan and Heringer, Gustavo and Meira-Neto, Joao A. A. and Buttschardt, Tillmann K.",2017,10.3389/fenvs.2017.00044,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
The Value Of Site-Specific Information And The Environment: Technology Adoption And Pesticide Use Under Uncertainty,"Isik, M and Hudson, D and Coble, KH",2005,10.1016/j.jenvman.2005.01.024,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Wetland Landscape Spatio-Temporal Degradation Dynamics Using The New Google Earth Engine Cloud-Based Platform: Opportunities For Non-Specialists In Remote Sensing,"Alonso, A. and Munoz-Carpena, R. and Kennedy, R. E. and Murcia, C.",2016,10.13031/trans.59.11608,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Incorporating Water Quantity And Quality Modelling Into Forest Management,"Li, Xiangfei and Nour, Mohamed H. and Smith, Daniel W. and Prepas, Ellie E. and Putz, Gordon and Watson, Brett M.",2008,10.5558/tfc84338-3,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Extending The Utility Of Modis Daily Snow-Cover Products Through Snow-Cover Prediction Of Cloud-Obscured Areas In Idaho's Big Lost River Basin (Usa),"Hruska, Ryan C. and Lee, Randy",2008,10.1080/15420350802142702,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Demonstration Of A Modular Prototype End-To-End Simulator For Aquatic Remote Sensing Applications,"Matthews, M. W. and Dekker, A. and Price, I. and Drayson, N. and Pease, J. and Antoine, D. and Anstee, J. and Sharp, R. and Woodgate, W. and Phinn, S. and Gensemer, S.",2023,10.3390/s23187824,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Cross-Scale Sensing Of Field-Level Crop Residue Cover: Integrating Field Photos, Airborne Hyperspectral Imaging, And Satellite Data","Wang, S. and Guan, K. and Zhang, C. and Zhou, Q. and Wang, S. and Wu, X. and Jiang, C. and Peng, B. and Mei, W. and Li, K. and Li, Z. and Yang, Y. and Zhou, W. and Huang, Y. and Ma, Z.",2023,10.1016/j.rse.2022.113366,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Management Recommendation Generation For Areas Under Forest Restoration Process Through Images Obtained By Uav And Lidar,"Reis, B. P. and Martins, S. V. and Filho, E. I. F. and Sarcinelli, T. S. and Gleriani, J. M. and Marcatti, G. E. and Leite, H. G. and Halassy, M.",2019,10.3390/rs11131508,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Broadband, Red-Edge Information From Satellites Improves Early Stress Detection In A New Mexico Conifer Woodland","Eitel, J. U. H. and Vierling, L. A. and Litvak, M. E. and Long, D. S. and Schulthess, U. and Ager, A. A. and Krofcheck, D. J. and Stoscheck, L.",2011,10.1016/j.rse.2011.09.002,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Future Perspectives Of Earth Observation: Indian Scenario,"Rao, M. and Jayaraman, V. and Chandrasekhar, M. G.",1998,10.1016/s0892-9270(97)00049-3,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Mapping Floristic Gradients Of Forest Composition Using An Ordination-Regression Approach With Landsat Oli And Terrain Data In The Central Hardwoods Region,"Adams, B. T. and Matthews, S. N. and Peters, M. P. and Prasad, A. and Iverson, L. R.",2019,10.1016/j.foreco.2018.12.018,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
From Forest Dynamics To Wetland Siltation In Mountainous Landscapes: A Rs-Based Framework For Enhancing Erosion Control,"Hernandez-Romero, Gonzalo and Alvarez-Martinez, Jose Manuel and Perez-Silos, Ignacio and Silio-Calzada, Ana and Vieites, David R. and Barquin, Jose",2022,10.3390/rs14081864,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Input Data Resolution Affects The Conservation Prioritization Outcome Of Spatially Sparse Biodiversity Features,"Tanhuanpaa, Topi and Mikkonen, Ninni and Kujala, Heini and Heinaro, Einari and Mayra, Janne and Kumpula, Timo",2023,10.1007/s13280-023-01885-6,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Applications And Research Using Remote Sensing For Rangeland Management,"Hunt Jr, E. R. and Everitt, J. H. and Ritchie, J. C. and Moran, M. S. and Booth, D. T. and Anderson, G. L. and Clark, P. E. and Seyfried, M. S.",2003,10.14358/pers.69.6.675,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Global Flood Mapper: A Novel Google Earth Engine Application For Rapid Flood Mapping Using Sentinel-1 Sar,"Tripathy, Pratyush and Malladi, Teja",2022,10.1007/s11069-022-05428-2,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Combining Passive Acoustics And Environmental Data For Scaling Up Ecosystem Monitoring: A Test On Coral Reef Fishes,"Elise, Simon and Guilhaumon, Francois and Mou-Tham, Gerard and Urbina-Barreto, Isabel and Vigliola, Laurent and Kulbicki, Michel and Bruggemann, J. Henrich",2022,10.3390/rs14102394,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
The Emerging Role Of Satellite Rainfall Data In Improving The Hydro-Political Situation Of Flood Monitoring In The Under-Developed Regions Of The World,"Hossain, Faisal and Katiyar, Nitin and Hong, Yang and Wolf, Aaron",2007,10.1007/s11069-006-9094-x,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Mapping Plastic-Mulched Farmland By Coupling Optical And Synthetic Aperture Radar Remote Sensing,"Zhongxin, C. and Fei, L. and Yuncai, H.",2020,10.1080/01431161.2020.1763510,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
Historical Eco-Environmental Quality Mapping In China With Multi-Source Data Fusion,"Wu, S. and Cao, L. and Xu, D. and Zhao, C.",2023,10.3390/app13148051,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
"Food, Water, And Fault Lines: Remote Sensing Opportunities For Earthquake-Response Management Of Agricultural Water","Rodriguez, Jenna and Ustin, Susan and Sandoval-Solis, Samuel and O'Geen, Anthony Toby",2016,10.1016/j.scitotenv.2016.05.146,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
The Role Of Remote Sensing In The Development Of Smart Indicators For Ecosystem Services Assessment,"Dawson, T. P. and Cutler, M. E. J. and Brown, C.",2016,10.1080/14888386.2016.1246384,NA,sample 1000,NA,NA,NA,NA,NA,NA,NA,NA
