title,author,year,pdf_out,csv_out
From Science to Applications: Determinants of Diffusion in the Use of Earth Observations,"Macauley, Molly K. and Maher, Joseph Andrew and Shih, J. S.",2010,_data/societal_benefits/pdf/macauley_2010_from_science_to_applications.pdf,_data/societal_benefits/csv/macauley_2010_from_science_to_applications.csv
The Value of Information: Measuring the Contribution of Space-Derived Earth Science Data to Resource Management,"Macauley, Molly K.",2006,_data/societal_benefits/pdf/macauley_2006_the_value_of_information.pdf,_data/societal_benefits/csv/macauley_2006_the_value_of_information.csv
The Role of Stakeholders in Creating Societal Value From Coastal and Ocean Observations,"Mackenzie, Bev and Celliers, Louis and Assad, Luiz Paulo De Freitas and Heymans, Johanna J. and Rome, Nicholas and Thomas, Julie and Anderson, Clarissa and Behrens, James and Calverley, Mark and Desai, Kruti and DiGiacomo, Paul M. and Djavidnia, Samy and Dos Santos, Francisco and Eparkhina, Dina and Ferrari, Jos{\'e} and Hanly, Caitriona and Houtman, Bob and Jeans, Gus and Landau, Luiz and Larkin, Kate and Legler, David and Le Traon, Pierre-Yves and Lindstrom, Eric and Loosley, David and Nolan, Glenn and Petihakis, George and Pellegrini, Julio and Roberts, Zoe and Siddorn, John R. and Smail, Emily and {Sousa-Pinto}, Isabel and Terrill, Eric",2019,_data/societal_benefits/pdf/mackenzie_2019_the_role_of_stakeholders.pdf,_data/societal_benefits/csv/mackenzie_2019_the_role_of_stakeholders.csv
Using Architecture Modeling to Assess the Societal Benefits of the Global Earth Observation System-of-Systems,"Martin, J.N.",2008,_data/societal_benefits/pdf/martin_2008_using_architecture_modeling_to.pdf,_data/societal_benefits/csv/martin_2008_using_architecture_modeling_to.csv
Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study,"McCallum, I. and Kidd, R. and Fritz, S. and Kraxner, F. and Obersteiner, M. and Shvidenko, Anatoly",2008,_data/societal_benefits/pdf/mccallum_2008_banda_aceh_the_value.pdf,_data/societal_benefits/csv/mccallum_2008_banda_aceh_the_value.csv
"Users, Uses, and Value of Landsat Satellite Imagery: Results from the 2012 Survey of Users","Miller, Holly M. and Richardson, Leslie A. and Koontz, Stephen R. and Loomis, John and Koontz, Lynne",2013,_data/societal_benefits/pdf/miller_2013_users_uses_and_value.pdf,_data/societal_benefits/csv/miller_2013_users_uses_and_value.csv
Improved Hydrological Decision Support System for the Lower Mekong River Basin Using Satellite-Based Earth Observations,"Mohammed, Ibrahim and Bolten, John and Srinivasan, Raghavan and Lakshmi, Venkat",2018,_data/societal_benefits/pdf/mohammed_2018_improved_hydrological_decision_support.pdf,_data/societal_benefits/csv/mohammed_2018_improved_hydrological_decision_support.csv
Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat,"Molder, Edmund B. and Schenkein, Sarah F. and McConnell, Abby E. and Benedict, Karl K. and Straub, Crista L.",2022,_data/societal_benefits/pdf/molder_2022_landsat_data_ecosystem_case.pdf,_data/societal_benefits/csv/molder_2022_landsat_data_ecosystem_case.csv
Integrating Earth Observation Data into Geospatial Databases That Support Public Health Decisions,"Morain, S. A. and Budge, A. M.",2006,_data/societal_benefits/pdf/morain_2006_integrating_earth_observation_data.pdf,_data/societal_benefits/csv/morain_2006_integrating_earth_observation_data.csv
The Socio-Economic Value of Scientific Publications: The Case of Earth Observation Satellites,"Morretta, Valentina and Vurchio, Davide and Carrazza, Stefano",2022,_data/societal_benefits/pdf/morretta_2022_the_socio_economic_value.pdf,_data/societal_benefits/csv/morretta_2022_the_socio_economic_value.csv
"The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR","M{\""u}ller, Daniel and Suess, Stefan and Hoffmann, Anja A. and Buchholz, Georg",2013,_data/societal_benefits/pdf/mu_2013_the_value_of_satellite.pdf,_data/societal_benefits/csv/mu_2013_the_value_of_satellite.csv
Visual Evidence from Above: Assessing the Value of Earth Observation Satellites for Supporting Human Rights,"Notley, Tanya and {Webb-Gannon}, Camellia",2016,_data/societal_benefits/pdf/notley_2016_visual_evidence_from_above.pdf,_data/societal_benefits/csv/notley_2016_visual_evidence_from_above.csv
The Value of Near Real-Time Earth Observations for Improved Flood Disaster Response,"Oddo, Perry C. and Bolten, John D.",2019,_data/societal_benefits/pdf/oddo_2019_the_value_of_near.pdf,_data/societal_benefits/csv/oddo_2019_the_value_of_near.csv
Enhancing the Standardized Drought Vulnerability Index by Integrating Spatiotemporal Information from Satellite and in Situ Data,"Oikonomou, Panagiotis D. and Tsesmelis, Demetrios E. and Waskom, Reagan M. and Grigg, Neil S. and Karavitis, Christos A.",2019,_data/societal_benefits/pdf/oikonomou_2019_enhancing_the_standardized_drought.pdf,_data/societal_benefits/csv/oikonomou_2019_enhancing_the_standardized_drought.csv
Satellite Earth Observations and Their Impact on Society and Policy,NA,2017,_data/societal_benefits/pdf/2017_satellite_earth_observations_and.pdf,_data/societal_benefits/csv/2017_satellite_earth_observations_and.csv
"Demonstrating the Value of Earth Observations---Methods, Practical Applications, and Solutions---Group on Earth Observations Side Event Proceedings","Pearlman, Francoise and Lawrence, Collin B. and Pindilli, Emily J. and Geppi, Denna and Shapiro, Carl D. and Grasso, Monica and Pearlman, Jay and Adkins, Jeffery and Sawyer, Geoff and Tassa, Alessandra",2019,_data/societal_benefits/pdf/pearlman_2019_demonstrating_the_value_of.pdf,_data/societal_benefits/csv/pearlman_2019_demonstrating_the_value_of.csv
NOAA Science Challenge Workshop,"Pendleton, Linwood and Wiley, Peter and {Beller-Simms}, Nancy and Curtis, Rita and Gaynor, John and Huffer, Hillary and Morris, Charlie and Sagar, Heather and Smith, Adam and Sprague, Jennifer and Triezenberg, Heather",2011,_data/societal_benefits/pdf/pendleton_2011_noaa_science_challenge_workshop.pdf,_data/societal_benefits/csv/pendleton_2011_noaa_science_challenge_workshop.csv
Australian Earth Observation Community Plan 2026: Delivering Essential Information and Services for Australia's Future; Australian Earth Observation Community Coordinating Group. 2016,"Phinn, S. and Dekker, A. and Held, A. and Lane, A. and Legresy, B. and Lewis, A. and Lucieer, A. and Ong, C. and Paudyal, D. and Penning, C.",NA,_data/societal_benefits/pdf/phinn_australian_earth_observation_community.pdf,_data/societal_benefits/csv/phinn_australian_earth_observation_community.csv
What Is the Economic Value of Satellite Imagery?,"Raunikar, Ronald P. and Forney, William M. and Benjamin, Susan P.",2013,_data/societal_benefits/pdf/raunikar_2013_what_is_the_economic.pdf,_data/societal_benefits/csv/raunikar_2013_what_is_the_economic.csv
"Interactive Model for Assessing Mangrove Health, Ecosystem Services, Policy Consequences, and Satellite Design in Rio de Janeiro Using Earth Observation Data","Reida, Jack B. and Wood, Danielle",2020,_data/societal_benefits/pdf/reida_2020_interactive_model_for_assessing.pdf,_data/societal_benefits/csv/reida_2020_interactive_model_for_assessing.csv
A PROFESSIONAL REVIEW FOR INTEGRATION OF EARTH OBSERVATIONS INTO FEWS NET DECISION SUPPORT,"Ross, Kenton W. and Underwood, Lauren W. and Brown, Molly E.",NA,_data/societal_benefits/pdf/ross_a_professional_review_for.pdf,_data/societal_benefits/csv/ross_a_professional_review_for.csv
Impact of Global Earth Observation-Systemic View across GEOSS Societal Benefit Area,"Rydzak, Felicjan and Obersteiner, Michael and Kraxner, Florian",2010,_data/societal_benefits/pdf/rydzak_2010_impact_of_global_earth.pdf,_data/societal_benefits/csv/rydzak_2010_impact_of_global_earth.csv
Landsat and Water: Case Studies of the Uses and Benefits of Landsat Imagery in Water Resources,"Serbina, Larisa O. and Miller, Holly M.",2014,_data/societal_benefits/pdf/serbina_2014_landsat_and_water_case.pdf,_data/societal_benefits/csv/serbina_2014_landsat_and_water_case.csv
Enhancing Access and Usage of Earth Observations in Environmental Decision-Making in Eastern and Southern Africa Through Capacity Building,"Shukla, Shraddhanand and Macharia, Denis and Husak, Gregory J. and Landsfeld, Martin and Nakalembe, Catherine Lilian and Blakeley, S. Lucille and Adams, Emily Caitlin and {Way-Henthorne}, Juliet",2021,_data/societal_benefits/pdf/shukla_2021_enhancing_access_and_usage.pdf,_data/societal_benefits/csv/shukla_2021_enhancing_access_and_usage.csv
Enhancing the Application of Earth Observations for Improved Environmental Decision-Making Using the Early Warning eXplorer (EWX,"Shukla, Shraddhanand and Landsfeld, Martin and Anthony, Michelle and Budde, Michael and Husak, Gregory J. and Rowland, James and Funk, Chris",2021,_data/societal_benefits/pdf/shukla_2021_enhancing_the_application_of.pdf,_data/societal_benefits/csv/shukla_2021_enhancing_the_application_of.csv
Valuation of Calibration for Satellite Constellations,"Siddiqi, Afreen and Baber, Sheila and {de Weck}, Olivier L and Durell, Chris and Russell, Brandon and Holt, Jeff",2019,_data/societal_benefits/pdf/siddiqi_2019_valuation_of_calibration_for.pdf,_data/societal_benefits/csv/siddiqi_2019_valuation_of_calibration_for.csv
POSITION PAPER - EVALUATION METHODS AND TECHNIQUES,"Smart, Alan",NA,_data/societal_benefits/pdf/smart_position_paper_evaluation_methods.pdf,_data/societal_benefits/csv/smart_position_paper_evaluation_methods.csv
Geographic Microtargeting of Social Assistance with High-Resolution Poverty Maps,"Smythe, Isabella S. and Blumenstock, Joshua E.",2022,_data/societal_benefits/pdf/smythe_2022_geographic_microtargeting_of_social.pdf,_data/societal_benefits/csv/smythe_2022_geographic_microtargeting_of_social.csv
Engaging Global Youth in Participatory Spatial Data Creation for the UN Sustainable Development Goals: The Case of Open Mapping for Malaria Prevention,"Sol{\'i}s, Patricia and McCusker, Brent and Menkiti, Nwasinachi and Cowan, Nuala and Blevins, Chad",2018,_data/societal_benefits/pdf/soli_2018_engaging_global_youth_in.pdf,_data/societal_benefits/csv/soli_2018_engaging_global_youth_in.csv
A Benefit-Cost Analysis of a Regional Global Ocean Observing System: Seawatch Europe,"Stel, Jan H and Mannix, Brian F",1996,_data/societal_benefits/pdf/stel_1996_a_benefit_cost_analysis.pdf,_data/societal_benefits/csv/stel_1996_a_benefit_cost_analysis.csv
Quantifying the Human Health Benefits of Using Satellite Information to Detect Cyanobacterial Harmful Algal Blooms and Manage Recreational Advisories in U.S. Lakes,"Stroming, Signe and Robertson, Molly and Mabee, Bethany and Kuwayama, Yusuke and Schaeffer, Blake",2020,_data/societal_benefits/pdf/stroming_2020_quantifying_the_human_health.pdf,_data/societal_benefits/csv/stroming_2020_quantifying_the_human_health.csv
Using Satellite Data to Fill the Gaps in the US Air Pollution Monitoring Network,"Sullivan, Daniel M and Krupnick, Alan",NA,_data/societal_benefits/pdf/sullivan_using_satellite_data_to.pdf,_data/societal_benefits/csv/sullivan_using_satellite_data_to.csv
Program Goals for the NASA/NOAA Earth Observation Program Derived from a Stakeholder Value Network Analysis,"Sutherland, Timothy A. and Cameron, Bruce G. and Crawley, Edward F.",2012,_data/societal_benefits/pdf/sutherland_2012_program_goals_for_the.pdf,_data/societal_benefits/csv/sutherland_2012_program_goals_for_the.csv
"On-Going European Space Agency Activities on Measuring the Benefits of Earth Observations to Society: Challenges, Achievements and Next Steps","Tassa, Alessandra and Willekens, Stephanie and Lahcen, Arne and Laurich, Laurent and Mathieu, Charlotte",2022,_data/societal_benefits/pdf/tassa_2022_on_going_european_space.pdf,_data/societal_benefits/csv/tassa_2022_on_going_european_space.csv
"The Socio-Economic Value of Satellite Earth Observations: Huge, yet to Be Measured","Tassa, Alessandra",2020,_data/societal_benefits/pdf/tassa_2020_the_socio_economic_value.pdf,_data/societal_benefits/csv/tassa_2020_the_socio_economic_value.csv
Ten Rules to Increase the Societal Value of Earth Observations,"Virapongse, Arika and Pearlman, Francoise and Pearlman, Jay and Murambadoro, Miriam D. and Kuwayama, Yusuke and Glasscoe, Margaret T.",2020,_data/societal_benefits/pdf/virapongse_2020_ten_rules_to_increase.pdf,_data/societal_benefits/csv/virapongse_2020_ten_rules_to_increase.csv
The Social Innovation Potential of ICT-enabled Citizen Observatories to Increase eParticipation in Local Flood Risk Management,"Wehn, Uta and Evers, Jaap",2015,_data/societal_benefits/pdf/wehn_2015_the_social_innovation_potential.pdf,_data/societal_benefits/csv/wehn_2015_the_social_innovation_potential.csv
Potential Benefits of Coastal Ocean Observing Systems to Alaskan Commercial Fisheries,"Wellman, Katharine F. and Hartley, Marcus",2008,_data/societal_benefits/pdf/wellman_2008_potential_benefits_of_coastal.pdf,_data/societal_benefits/csv/wellman_2008_potential_benefits_of_coastal.csv
The Socioeconomic Benefits of Earth Science and Applications Research: Reducing the Risks and Costs of Natural Disasters in the USA,"Williamson, Ray A and Hertzfeld, Henry R and Cordes, Joseph and Logsdon, John M",2002,_data/societal_benefits/pdf/williamson_2002_the_socioeconomic_benefits_of.pdf,_data/societal_benefits/csv/williamson_2002_the_socioeconomic_benefits_of.csv
Cloud Services with Big Data Provide a Solution for Monitoring and Tracking Sustainable Development Goals,"Wu, Bingfang and Tian, Fuyou and Zhang, Miao and Zeng, Hongwei and Zeng, Yuan",2020,_data/societal_benefits/pdf/wu_2020_cloud_services_with_big.pdf,_data/societal_benefits/csv/wu_2020_cloud_services_with_big.csv
Satellite Earth Observation Value Added Services in the Nigerian Economy. ISNET,Zahrah Naankwat Musa} and {Halilu A. Shaba,2010,_data/societal_benefits/pdf/zahrahnaankwatmusa_2010_satellite_earth_observation_value.pdf,_data/societal_benefits/csv/zahrahnaankwatmusa_2010_satellite_earth_observation_value.csv
Assimilation of GRACE Terrestrial Water Storage Data into a Land Surface Model: Results for the Mississippi River Basin,"Zaitchik, Benjamin F. and Rodell, Matthew and Reichle, Rolf H.",2008,_data/societal_benefits/pdf/zaitchik_2008_assimilation_of_grace_terrestrial.pdf,_data/societal_benefits/csv/zaitchik_2008_assimilation_of_grace_terrestrial.csv
A User-Driven Approach to Determining Critical Earth Observation Priorities for Societal Benefit,"Zell, Erica and Huff, Amy K. and Carpenter, Adam T. and Friedl, Lawrence A.",2012,_data/societal_benefits/pdf/zell_2012_a_user_driven_approach.pdf,_data/societal_benefits/csv/zell_2012_a_user_driven_approach.csv
Future Earth Observation Strategy for Societal Benefits,"Zhou, Guoqing and Baysal, O.",2005,_data/societal_benefits/pdf/zhou_2005_future_earth_observation_strategy.pdf,_data/societal_benefits/csv/zhou_2005_future_earth_observation_strategy.csv
Benefits of the Free and Open Landsat Data Policy,"Zhu, Zhe and Wulder, Michael A. and Roy, David P. and Woodcock, Curtis E. and Hansen, Matthew C. and Radeloff, Volker C. and Healey, Sean P. and Schaaf, Crystal and Hostert, Patrick and Strobl, Peter and Pekel, Jean-Francois and Lymburner, Leo and Pahlevan, Nima and Scambos, Ted A.",2019,_data/societal_benefits/pdf/zhu_2019_benefits_of_the_free.pdf,_data/societal_benefits/csv/zhu_2019_benefits_of_the_free.csv
Benefits and Beneficiaries of the Oklahoma Mesonet: A Multisectoral Ripple Effect Analysis,"Ziolkowska, Jadwiga R. and Fiebrich, Christopher A. and Carlson, J. D. and Melvin, Andrea D. and Sutherland, Albert J. and Kloesel, Kevin A. and McManus, Gary D. and Illston, Bradley G. and Hocker, James E. and Reyes, Reuben",2017,_data/societal_benefits/pdf/ziolkowska_2017_benefits_and_beneficiaries_of.pdf,_data/societal_benefits/csv/ziolkowska_2017_benefits_and_beneficiaries_of.csv
