Reference,ESI source,Valuation method(s),Decision context,Value type(s)
"A. Kangas, T. Gobakken, S. Puliti, M. Hauglin, E. Naesset, Value of airborne laser scanning and digital aerial photogrammetry data in forest decision making. Silva Fennica (2018). https://doi.org/10.14214/sf.9923.",airborne laser scanning; digital aerial photogrammetry,Value of information,Agriculture,Instrumental (monetary)
"T. Keenan, et al., The sydney 2000 world weather research programme forecast demonstration project. Bulletin Of The American Meteorological Society (2003). https://doi.org/10.1175/bams-84-8-1041.",Nine different observationally based nowcasting systems,Surveys of preference assessments,Climate & Resilience,Instrumental (monetary)
"P. L. Kenkel, P. E. Norris, Agricultural Producers’ Willingness to Pay for Real-Time Mesoscale Weather Information. Journal of Agricultural and Resource Economics 20, 356–372 (1995).",Mesonet weather network,Stated preference,Agriculture,Instrumental (monetary)
"N. Khabarov, E. Moltchanova, M. Obersteiner, Valuing Weather Observation Systems For Forest Fire Management. IEEE Systems Journal 2, 349–357 (2008).",Aerial observation data,Value of information,Disasters; Wildland Fires,Instrumental (monetary)
"J.-H. Kim, H. Lim, J. Shin, S.-H. Yoo, Evaluating the public value of improving early detection accuracy of cumulonimbus using a geostationary satellite in south korea. Space Policy (2022). https://doi.org/10.1016/j.spacepol.2022.101507.",Cheollian Satellite 2A called Geo-Kompsat-2A,Stated preference,Climate & Resilience,Instrumental (monetary)
"H. Kite-Powell, The Value of Ocean Surface Wind Information for Maritime Commerce. mar technol soc j 45, 75–84 (2011).",Various instrument systems,Value of information,Climate & Resilience,Instrumental (monetary)
"A. Koppa, et al., A Scalable Earth Observations‐Based Decision Support System for Hydropower Planning in Africa. J American Water Resour Assoc 57, 711–736 (2021).",Earth Observing System derived P and ET datasets,Value of information,Water Resources,Instrumental (non-monetary)
"S. V. Kumar, K. W. Harrison, C. D. Peters-Lidard, J. A. Santanello, D. Kirschbaum, Assessing the impact of l-band observations on drought and flood risk estimation: a decision-theoretic approach in an osse environment. Journal Of Hydrometeorology (2014). https://doi.org/10.1175/jhm-d-13-0204.1.",Simulations based on SMAP Radiometer,Value of information,Agriculture; Water Resources,Instrumental (monetary)
"A. L’Astorina, I. Tomasoni, A. Basoni, P. Carrara, Beyond the dissemination of earth observation research: Stakeholders’ and users’ involvement in project co-design. Journal Of Science Communication (2015). https://doi.org/10.22323/2.14030303.",remote sensing,Econometric analysis,Agriculture,Instrumental (monetary)
"J. A. Larson, et al., Factors affecting farmer adoption of remotely sensed imagery for precision management in cotton production. Precision Agriculture (2008). https://doi.org/10.1007/s11119-008-9065-1.",Earth observation technologies,Semi-structured and in-depth interviews,Agriculture; Capacity Building,Instrumental (monetary)
"C. Lauer, J. Conran, J. Adkins, Estimating the Societal Benefits of Satellite Instruments: Application to a Break-even Analysis of the GeoXO Hyperspectral IR Sounder. Frontiers in Environmental Science 9 (2021).",GeoXO Hyperspectral Sounder,Value of information; Surveys of preference assessments,Climate & Resilience,Instrumental (monetary)
"J. K. Lazo, L. Chestnut, Economic Value of Current and Improved Weather Forecasts in the U.S. Household Sector. (2002).",NWS weather forecast,Stated preference; Value of information,Climate & Resilience; Various,Instrumental (monetary); Instrumental (non-monetary); Relational
"D. Letson, et al., Value of perfect ENSO phase predictions for agriculture: evaluating the impact of land tenure and decision objectives. Climatic Change 97, 145–170 (2009).",ENSO forecasts,Value of information,Agriculture,Instrumental (monetary)
"M. Li, A. Faghri, A. Ozden, Y. Yue, Economic feasibility study for pavement monitoring using synthetic aperture radar-based satellite remote sensing cost-benefit analysis. Transportation Research Record (2017). https://doi.org/10.3141/2645-01.",SAR,Cost-benefit analysis,Other,Instrumental (monetary)
"S.-Y. Liao, C.-C. Chen, S.-H. Hsu, Estimating the value of El Niño Southern Oscillation information in a regional water market with implications for water management. Journal of Hydrology 394, 347–356 (2010).",ENSO forecasts,Value of information; Econometric analysis,Water Resources,Instrumental (monetary); Instrumental (non-monetary)
"S. H. Lim, Y. Ge, J. M. Jacobs, X. Jia, Measuring the economic benefits of advanced technology use for river flood forecasting. Journal Of Flood Risk Management (2022). https://doi.org/10.1111/jfr3.12781.",satellite SWE observations,Stated preference; Econometric analysis,Agriculture,Instrumental (monetary)
"C. Linés, A. Iglesias, L. Garrote, V. Sotés, M. Werner, Do users benefit from additional information in support of operational drought management decisions in the Ebro basin? Hydrol. Earth Syst. Sci. 22, 5901–5917 (2018).",General remote sensing,Value of information; Real options analysis,Agriculture; Water Resources,Instrumental (monetary)
"J. Loomis, S. Koontz, H. Miller, L. Richardson, Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery. Photogrammetric Engineering & Remote Sensing 81, 647–656 (2015).",Landsat,Stated preference,Various,Instrumental (monetary)
"W. K. Luseno, J. G. McPeak, C. B. Barrett, P. D. Little, G. Gebru, Assessing the Value of Climate Forecast Information for Pastoralists: Evidence from Southern Ethiopia and Northern Kenya. World Development 31, 1477–1494 (2003).",climate forecasts,Semi-structured and in-depth interviews; Surveys of preference assessments,Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"M. K. Macauley, The value of information: Measuring the contribution of space-derived earth science data to resource management. Space Policy 22, 274–282 (2006).",hypothetical,Value of information,Various,Instrumental (monetary)
"B. Maxwell, E. Luschei, Justification for site-specific weed management based on ecology and economics. Weed Science (2005). https://doi.org/10.1614/ws-04-071r2.",remote sensing precipitation data,Value of information,Agriculture,Instrumental (monetary)
"I. McCallum, et al., Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study. (2008).",earth observation data,Surveys of preference assessments; Cost-benefit analysis,Disasters; Water Resources,Instrumental (monetary)
"B. M. Miller, The Not-So-Marginal Value of Weather Warning Systems. Weather, Climate, and Society 10, 89–101 (2018).",weather warning system,Econometric analysis,Climate & Resilience,Instrumental (monetary); Instrumental (non-monetary)
"H. M. Miller, L. A. Richardson, S. R. Koontz, J. Loomis, L. Koontz, “Users, uses, and value of Landsat satellite imagery: results from the 2012 survey of users” (U.S. Geological Survey, 2013).",Landsat,Surveys of preference assessments; Stated preference,Various,Instrumental (monetary)
"A. Millner, Getting the Most out of Ensemble Forecasts: A Valuation Model Based on User–Forecast Interactions. Journal of Applied Meteorology and Climatology 47, 2561–2571 (2008).",hypothetical weather forecast,Bayesian decision analysis,Climate & Resilience,Instrumental (monetary)
"J. Moellmann, M. Buchholz, O. Musshoff, Comparing the hedging effectiveness of weather derivatives based on remotely sensed vegetation health indices and meteorological indices. Weather Climate And Society (2018). https://doi.org/10.1175/wcas-d-17-0127.1.",AVHRR,Econometric analysis,Agriculture,Instrumental (monetary)
"E. B. Molder, S. F. Schenkein, A. E. McConnell, K. K. Benedict, C. L. Straub, Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat. Frontiers in Environmental Science 9 (2022).",Landsat,Semi-structured and in-depth interviews,Various,Instrumental (monetary); Instrumental (non-monetary)
"E. Moltchanova, N. Khabarov, M. Obersteiner, D. Ehrlich, M. Moula, The value of rapid damage assessment for efficient earthquake response. Safety Science (2011). https://doi.org/10.1016/j.ssci.2011.03.008.",hypothetical earthquake rapid response based on earth observation,Value of information; Cost-benefit analysis,Disasters,Instrumental (monetary); Instrumental (non-monetary)
"J. Morgenroth, R. Visser, Uptake and barriers to the use of geospatial technologies in forest management. New Zealand Journal Of Forestry Science (2013). https://doi.org/10.1186/1179-5395-43-16.","aerial photography, lidar, radar",Surveys of preference assessments,Agriculture,Instrumental (monetary)
"V. Morretta, M. Florio, M. Landoni, The social value of earth observation: a new evaluation framework for public high-tech infrastructures. Structural Change And Economic Dynamics (2023). https://doi.org/10.1016/j.strueco.2023.09.003.",hypothetical,Cost-benefit analysis,Various,Instrumental (monetary); Instrumental (non-monetary); Relational
"V. Morretta, D. Vurchio, S. Carrazza, The socio-economic value of scientific publications: The case of Earth Observation satellites. Technological Forecasting and Social Change 180, 121730 (2022).",Cosmo Skymed,Cost-benefit analysis,Various,Instrumental (monetary); Relational
"J. Musinsky, et al., Conservation impacts of a near real-time forest monitoring and alert system for the tropics. Remote Sensing In Ecology And Conservation (2018). https://doi.org/10.1002/rse2.78.","MODIS, VIIRS active fire data",Surveys of preference assessments; Semi-structured and in-depth interviews,Agriculture; Various,Instrumental (monetary); Instrumental (non-monetary)
"S. C. Newbold, S. Lindley, S. Albeke, J. Viers, R. Johnston, 'Valuing Satellite Data for Harmful Algal Bloom Early Warning Systems' (Resources for the Future, 2022).",HAB warning system based on satellite imagery,Value of information; Revealed preference,Water Resources,Instrumental (monetary)
"N. Nikolic, et al., Site- and time-specific early weed control is able to reduce herbicide use in maize - a case study. Italian Journal Of Agronomy (2021). https://doi.org/10.4081/ija.2021.1780.",UAV,Value of information,Agriculture,Instrumental (monetary)
"L. Noordermeer, T. Gobakken, E. Naesset, O. M. Bollandsas, Economic utility of 3d remote sensing data for estimation of site index in nordic commercial forest inventories: a comparison of airborne laser scanning, digital aerial photogrammetry and conventional practices. Scandinavian Journal Of Forest Research (2021). https://doi.org/10.1080/02827581.2020.1854340.",Airborne laser scanning and digital aerial photogrammetry,Value of information; Cost-benefit analysis,Agriculture,Instrumental (monetary)
"F. Nutini, et al., Supporting operational site-specific fertilization in rice cropping systems with infield smartphone measurements and sentinel-2 observations. Precision Agriculture (2021). https://doi.org/10.1007/s11119-021-09784-0.",Sentinel,Value of information,Agriculture,Instrumental (monetary)
"K. O’Dell, et al., Public health benefits from improved identification of severe air pollution events with geostationary satellite data. (2023). https://doi.org/10.1029/2023gh000890.",GEOSS,Value of information; Cost-benefit analysis,Various,Instrumental (monetary)
"M. Obersteiner, F. Rydzak, S. Fritz, I. McCallum, Valuing the potential impacts of geoss: a systems dynamics approach. The Value Of Information: Methodological Frontiers And New Applications In Environment And Health (2012). https://doi.org/10.1007/978-94-007-4839-2_4.",MODIS,Value of information,Disasters,Instrumental (monetary)
"P. C. Oddo, J. D. Bolten, The Value of Near Real-Time Earth Observations for Improved Flood Disaster Response. Frontiers in Environmental Science 7 (2019).",GOES;VIIRS;,Value of information,Health & Air Quality,Instrumental (monetary); Instrumental (non-monetary)
"R. Opitz, et al., Practicing critical zone observation in agricultural landscapes: Communities, technology, environment and archaeology. Land (2023). https://doi.org/10.3390/land12010179.",various,Semi-structured and in-depth interviews; Focus groups,Agriculture; Capacity Building,Instrumental (monetary)
"B. P. Parajuli, et al., An open data and citizen science approach to building resilience to natural hazards in a data-scarce remote mountainous part of nepal. Sustainability (2020). https://doi.org/10.3390/su12229448.",Satellite imagery,Non-monetary methods - deliberative,Various; Capacity Building,Instrumental (non-monetary); Relational
"S.-Y. Park, S.-H. Yoo, The public value of improving a weather forecasting system in Korea: a choice experiment study. Applied Economics 50, 1644–1658 (2018).",weather forecast,Stated preference,Climate & Resilience,Instrumental (monetary)
"F. Pearlman, R. Bernknopf, M. A. Stewart, J. S. Pearlman, Impacts of geospatial information for decision making. Advances In Natural And Technological Hazards Research (2014). https://doi.org/10.1007/978-3-319-01821-8_10.",MRLI (Landsat); PRISM,Value of information; Cost-benefit analysis,Health & Air Quality; Agriculture,Instrumental (monetary)
"E. H. Petersen, R. W. Fraser, An assessment of the value of seasonal forecasting technology for Western Australian farmers. Agricultural Systems 70, 259–274 (2001).",climate forecasts,Value of information,Agriculture,Instrumental (monetary)
"S. Quiroga, et al., The economic value of drought information for water management under climate change: a case study in the Ebro basin. Nat. Hazards Earth Syst. Sci. 11, 643–657 (2011).",drought forecast,Value of information,Agriculture,Instrumental (monetary)
"A. Rango, Operational applications of satellite snow cover observations. Jawra Journal Of The American Water Resources Association (1980). https://doi.org/10.1111/j.1752-1688.1980.tb02549.x.","Landsat, VHRR",Cost-benefit analysis,Water Resources,Instrumental (monetary)
"R. D. Roberts, et al., Taking the highway to save lives on lake victoria. Bulletin Of The American Meteorological Society (2022). https://doi.org/10.1175/bams-d-20-0290.1.",weather warning system,Focus groups; Semi-structured and in-depth interviews,Climate & Resilience,Instrumental (monetary); Instrumental (non-monetary)
"K. S. Rollins, J. Shaykewich, Using willingness‐to‐pay to assess the economic value of weather forecasts for multiple commercial sectors. Meteorological Applications 10, 31–38 (2003).",weather forecast,Stated preference,Climate & Resilience,Instrumental (monetary)
"K. W. Ross, M. E. Brown, J. P. Verdin, L. W. Underwood, Review of fews net biophysical monitoring requirements. Environmental Research Letters (2009). https://doi.org/10.1088/1748-9326/4/2/024009.",FEWS NET,Surveys of preference assessments,Agriculture; Climate & Resilience,Instrumental (monetary)
"T. F. Rotheli, Applied welfare economics with bounded rationality: Public policies toward remote sensing. International Advances In Economic Research (2005). https://doi.org/10.1007/s11294-004-7165-x.",hypothetical crop health,Cost-benefit analysis,Agriculture,Instrumental (monetary)
"M. Rouget, Measuring conservation value at fine and broad scales: Implications for a diverse and fragmented region, the agulhas plain. Biological Conservation (2003). https://doi.org/10.1016/s0006-3207(02)00415-9.",remote sensing at different scales,Value of information,Ecological Conservation,Instrumental (monetary); Instrumental (non-monetary)
"F. Rydzak, M. Obersteiner, F. Kraxner, Impact of Global Earth Observation - Systemic view across GEOSS societal benefit areas. International Journal of Spatial Data Infrastructures Research 216–243 (2010).",GEOSS,Value of information,Various,Instrumental (monetary); Instrumental (non-monetary)
"V. Šafář, et al., The role of remote sensing in agriculture and future vision. Agris On-Line Papers In Economics And Informatics (2022). https://doi.org/10.7160/aol.2022.140109.",Copernicus,Surveys of preference assessments; Focus groups,Agriculture,Instrumental (monetary)
"V. G. Sales, E. Strobl, R. J. R. Elliott, Cloud cover and its impact on brazil’s deforestation satellite monitoring program: Evidence from the cerrado biome of the brazilian legal amazon. Applied Geography (2022). https://doi.org/10.1016/j.apgeog.2022.102651.",multispectral remote radar,Value of information,Climate & Resilience; Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"P. G. Sassone, The economics of atmosphere monitoring systems: Theory and applications. Climatic Change (1982). https://doi.org/10.1007/bf02423388.",atmosphere monitoring systems,Value of information,Health & Air Quality,Instrumental (monetary)
"G. Sawyer, E. Mamais, D. Papadakis, The Six Dimensions of Value Associated to the use of Copernicus Sentinel Data: Key Findings From the Sentinel Benefits Study. Frontiers in Environmental Science 10 (2022).",Sentinel,Value of information,Various,Instrumental (monetary); Instrumental (non-monetary); Relational
"E. Schiavon, et al., Maximizing societal benefit across multiple hyperspectral earth observation missions: a user needs approach. Journal Of Geophysical Research-Biogeosciences (2023). https://doi.org/10.1029/2023jg007569.",NA,Focus groups; Semi-structured and in-depth interviews,Various,Instrumental (monetary); Instrumental (non-monetary)
"C. Schweik, C. Thomas, Using remote sensing to evaluate environmental institutional designs: a habitat conservation planning example. Social Science Quarterly (2002). https://doi.org/10.1111/1540-6237.00081.",LandSat,Cost-benefit analysis,Ecological Conservation,Instrumental (non-monetary)
"S. Seelan, S. Laguette, G. Casady, G. Seielstad, Remote sensing applications for precision agriculture: a learning community approach. Remote Sensing Of Environment (2003). https://doi.org/10.1016/j.rse.2003.04.007.","AVHRR, MODIS, ETM+, IKONOS, Digit Inc?s DALSA camera system and Positive Systems? ADAR 5500 digital aerial camera",Non-monetary methods - deliberative,Agriculture; Capacity Building,Instrumental (monetary); Instrumental (non-monetary); Relational
"G. A. Seielstad, et al., Applications of remote sensing to precision agriculture with dual economic and environmental benefits. Proceedings Of Spie-The International Society For Optical Engineering (2002). https://doi.org/10.1117/12.454211.",AVHRR; ETM+; IKONOS; ADAR5500; MODIS,Value of information; Non-monetary methods - deliberative,Agriculture,Instrumental (monetary)
"J. C. Selgrath, C. Roelfsema, S. E. Gergel, A. C. J. Vincent, Mapping for coral reef conservation: Comparing the value of participatory and remote sensing approaches. Ecosphere (2016). https://doi.org/10.1002/ecs2.1325.",Digital Globe Worldview 2,Value of information; Cost-benefit analysis,Ecological Conservation,Instrumental (non-monetary)
"V. Sharda, P. Srivastava, Value of ENSO-Forecasted Drought Information for the Management of Water Resources of Small to Mid-Size Communities. Transactions of the ASABE (American Society of Agricultural and Biological Engineers) 59, 1733–1744 (2016).",ENSO forecasts,Value of information,Water Resources,Instrumental (monetary); Instrumental (non-monetary)
"K. Smith, R. Berry, L. E. Clarke, Exploring the potential of google earth as a communication and engagement tool in collaborative natural flood management planning. Geographical Journal (2020). https://doi.org/10.1111/geoj.12323.",Google Earth,Focus groups; Surveys of preference assessments,Disasters; Water Resources,Instrumental (monetary); Instrumental (non-monetary); Relational
"I. S. Smythe, J. E. Blumenstock, Geographic microtargeting of social assistance with high-resolution poverty maps. Proc. Natl. Acad. Sci. U.S.A. 119, e2120025119 (2022).",satellite imagery,Value of information,Capacity Building,Instrumental (monetary); Relational
"A. R. Solow, et al., The Value of Improved ENSO Prediction to U.S. Agriculture. Climatic Change 39: 47–60 (1998).",ENSO forecasts,Bayesian decision analysis,Agriculture,Instrumental (monetary)
"M. Sozzi, et al., Economic comparison of satellite, plane and uav-acquired ndvi images for site-specific nitrogen application: Observations from italy. Agronomy-Basel (2021). https://doi.org/10.3390/agronomy11112098.","Satellite imagery, aerial imagery, UAV",Value of information; Cost-benefit analysis,Agriculture,Instrumental (monetary)
"K. Spaeti, R. Huber, R. Finger, Benefits of increasing information accuracy in variable rate technologies. Ecological Economics (2021). https://doi.org/10.1016/j.ecolecon.2021.107047.","satellite imagery, drone imagery",Value of information; Cost-benefit analysis,Agriculture,Instrumental (monetary)
"J. H. Stel, B. F. Mannix, A benefit-cost analysis of a regional global ocean observing system: Seawatch Europe. Marine Policy 20, 357–376 (1996).",Seawatch system,Cost-benefit analysis,Various,Instrumental (monetary)
"S. Stroming, M. Robertson, B. Mabee, Y. Kuwayama, B. Schaeffer, Quantifying the Human Health Benefits of Using Satellite Information to Detect Cyanobacterial Harmful Algal Blooms and Manage Recreational Advisories in U.S. Lakes. Geohealth 4, e2020GH000254 (2020).",Sentinel-3,Value of information; Market price/cost methods,Water Resources; Health & Air Quality,Instrumental (monetary); Instrumental (non-monetary)
"D. M. Styers, Using big data to engage undergraduate students in authentic science. Journal Of Geoscience Education (2018). https://doi.org/10.1080/10899995.2018.1411699.",MODIS; Landsat,Surveys of preference assessments,Various; Capacity Building,Relational
"D. M. Sullivan, A. Krupnick, Using Satellite Data to Fill the Gaps in the US Air Pollution Monitoring Network. (2019).",various satellite,Value of information; Econometric analysis,Health & Air Quality,Instrumental (non-monetary)
"Y. Tang, et al., Grid-scale agricultural land and water management: a remote-sensing-based multiobjective approach. Journal Of Cleaner Production (2020). https://doi.org/10.1016/j.jclepro.2020.121792.",MODIS,Value of information,Agriculture; Water Resources,Instrumental (monetary); Instrumental (non-monetary)
"T. Tanhuanpaa, et al., Input data resolution affects the conservation prioritization outcome of spatially sparse biodiversity features. Ambio (2023). https://doi.org/10.1007/s13280-023-01885-6.",Simulated data at various resolutions,Value of information,Ecological Conservation,Instrumental (non-monetary)
"A. Taramelli, et al., An interaction methodology to collect and assess user-driven requirements to define potential opportunities of future hyperspectral imaging sentinel mission. Remote Sensing (2020). https://doi.org/10.3390/rs12081286.",Sentinel,Surveys of preference assessments; Delphi method,Various,Instrumental (monetary)
"A. Tassa, S. Willekens, A. Lahcen, L. Laurich, C. Mathieu, On-Going European Space Agency Activities on Measuring the Benefits of Earth Observations to Society: Challenges, Achievements and Next Steps. Frontiers in Environmental Science 10 (2022).",ESA missions,Value of information,Various,Instrumental (monetary)
"W. Toombs, et al., Use and benefits of nasa’s recover for post-fire decision support. International Journal Of Wildland Fire (2018). https://doi.org/10.1071/wf18010.",RECOVER post-fire decision support system,Semi-structured and in-depth interviews,Wildland Fires,Instrumental (monetary); Instrumental (non-monetary)
"S. N. Trigg, D. P. Roy, A focus group study of factors that promote and constrain the use of satellite-derived fire products by resource managers in southern africa. Journal Of Environmental Management (2007). https://doi.org/10.1016/j.jenvman.2005.12.008.",MODIS,Focus groups; Semi-structured and in-depth interviews,Wildland Fires; Capacity Building,Instrumental (non-monetary)
"K. R. Varshney, et al., Targeting villages for rural development using satellite image analysis. Big Data (2015). https://doi.org/10.1089/big.2014.0061.",satellite imagery,Cost-benefit analysis,Capacity Building,Instrumental (monetary); Instrumental (non-monetary); Relational
"F. Vuolo, L. Essl, C. Atzberger, Costs and benefits of satellite-based tools for irrigation management. Frontiers In Environmental Science (2015). https://doi.org/10.3389/fenvs.2015.00052.",Landsat; DEIMOS,Cost-benefit analysis; Semi-structured and in-depth interviews,Agriculture; Water Resources,Instrumental (monetary)
"H. Wang, et al., Drone-based harvest data prediction can reduce on-farm food loss and improve farmer income. Plant Phenomics (2023). https://doi.org/10.34133/plantphenomics.0086.",drone,Value of information,Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"K. F. Wellman, M. Hartley, Potential Benefits of Coastal Ocean Observing Systems to Alaskan Commercial Fisheries. Coastal Management 36, 193–207 (2008).",Alaska Ocean Observing System,Value of information,Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"K. Wieand, A Bayesian Methodology for Estimating the Impacts of Improved Coastal Ocean Information on the Marine Recreational Fishing Industry. Coastal Management 36, 208–223 (2008).",Integrated Ocean Observation System,Bayesian decision analysis,Agriculture,Instrumental (monetary)
"S. Wikberg, et al., Cost-effectiveness of conservation strategies implemented in boreal forests: The area selection process. Biological Conservation (2009). https://doi.org/10.1016/j.biocon.2008.11.014.",satellite imagery,Cost-benefit analysis; Value of information,Ecological Conservation,Instrumental (monetary)
"D. S. Wilks, A skill score based on economic value for probability forecasts. Meteorological Applications 8, 209–219 (2001).",hypothetical weather forecast,Value of information,Climate & Resilience,Instrumental (monetary)
"C. Yeh, et al., Using publicly available satellite imagery and deep learning to understand economic well-being in africa. Nature Communications (2020). https://doi.org/10.1038/s41467-020-16185-w.",Landsat; night light data,Value of information,Capacity Building,Instrumental (monetary)
"D. R. Zeh, et al., Is acoustic tracking appropriate for air-breathing marine animals? Dugongs as a case study. Journal Of Experimental Marine Biology And Ecology (2015). https://doi.org/10.1016/j.jembe.2014.11.013.",satellite and acoustic telemetry,Cost-benefit analysis,Ecological Conservation,Instrumental (monetary); Instrumental (non-monetary)
"J. R. Ziolkowska, Economic value of environmental and weather information for agricultural decisions - A case study for Oklahoma Mesonet. Agriculture, Ecosystems & Environment 265, 503–512 (2018).",Mesonet weather network,Value of information,Agriculture,Instrumental (monetary)
